0,"[1991, 5177]","[2404.625, 5907.826923076923]"
1,"[1878, 5177]","[2262.18, 5799.36]"
2,"[1685, 5177]","[2182.9803921568628, 5665.9795918367345]"
3,"[1685, 4587]","[2105.1, 5563.2]"
4,"[1383, 4587]","[2002.1, 5461.28]"
5,"[1295, 4587]","[1893.58, 5386.76]"
6,"[1295, 4587]","[1762.72, 5336.42]"
7,"[1295, 4514]","[1672.48, 5265.38]"
8,"[1295, 4514]","[1595.44, 5208.82]"
9,"[1295, 4514]","[1542.2, 5171.9]"
10,"[1295, 4514]","[1514.96, 5134.08]"
11,"[1256, 4514]","[1465.86, 5122.14]"
12,"[1256, 4514]","[1419.7, 5080.2]"
13,"[1256, 4514]","[1386.56, 5051.84]"
14,"[1256, 4514]","[1350.94, 5029.24]"
15,"[1256, 4514]","[1327.6, 4989.36]"
16,"[1256, 4258]","[1314.72, 4908.3]"
17,"[1256, 4258]","[1308.56, 4812.6]"
18,"[1256, 4258]","[1304.3, 4767.6]"
19,"[1256, 4258]","[1302.14, 4689.0]"
20,"[1256, 4258]","[1299.46, 4655.54]"
21,"[1256, 4258]","[1298.62, 4599.96]"
22,"[1256, 4258]","[1297.34, 4557.66]"
23,"[1256, 4258]","[1295.74, 4525.54]"
24,"[1256, 4258]","[1292.86, 4503.68]"
25,"[1256, 4258]","[1288.38, 4482.16]"
26,"[1256, 4242]","[1283.9, 4460.44]"
27,"[1256, 4242]","[1279.14, 4443.58]"
28,"[1256, 4242]","[1276.16, 4431.2]"
29,"[1256, 4242]","[1272.64, 4420.98]"
30,"[1256, 4242]","[1269.12, 4416.4]"
31,"[1256, 4242]","[1268.48, 4413.64]"
32,"[1256, 4242]","[1267.2, 4401.32]"
33,"[1256, 4242]","[1265.6, 4398.38]"
34,"[1256, 4242]","[1263.04, 4396.46]"
35,"[1256, 4242]","[1258.88, 4393.28]"
36,"[1256, 4242]","[1256.0, 4388.4]"
37,"[1256, 4242]","[1256.0, 4383.72]"
38,"[1256, 4242]","[1256.0, 4383.7]"
39,"[1256, 4242]","[1256.0, 4383.7]"
40,"[1256, 4242]","[1256.0, 4383.7]"
41,"[1256, 4242]","[1256.0, 4379.2]"
42,"[1256, 4242]","[1256.0, 4370.24]"
43,"[1256, 4242]","[1256.0, 4369.76]"
44,"[1256, 4242]","[1256.0, 4369.64]"
45,"[1256, 4242]","[1256.0, 4369.64]"
46,"[1256, 3961]","[1256.0, 4359.94]"
47,"[1256, 3961]","[1256.0, 4348.04]"
48,"[1256, 3961]","[1256.0, 4338.46]"
49,"[1256, 3874]","[1256.0, 4327.14]"
50,"[1256, 3874]","[1256.0, 4319.46]"
51,"[1256, 3874]","[1256.0, 4319.46]"
52,"[1256, 3874]","[1256.0, 4319.46]"
53,"[1256, 3874]","[1256.0, 4319.46]"
54,"[1256, 3874]","[1256.0, 4319.46]"
55,"[1256, 3874]","[1256.0, 4319.46]"
56,"[1256, 3874]","[1256.0, 4319.46]"
57,"[1256, 3874]","[1256.0, 4319.46]"
58,"[1256, 3874]","[1256.0, 4319.46]"
59,"[1256, 3874]","[1256.0, 4319.46]"
60,"[1256, 3874]","[1256.0, 4319.46]"
61,"[1256, 3874]","[1256.0, 4319.46]"
62,"[1256, 3874]","[1256.0, 4319.46]"
63,"[1256, 3874]","[1256.0, 4319.46]"
64,"[1256, 3874]","[1256.0, 4319.46]"
65,"[1256, 3874]","[1256.0, 4319.46]"
66,"[1256, 3874]","[1256.0, 4319.46]"
67,"[1256, 3874]","[1256.0, 4319.46]"
68,"[1256, 3874]","[1256.0, 4319.46]"
69,"[1256, 3874]","[1256.0, 4319.46]"
70,"[1256, 3874]","[1256.0, 4319.46]"
71,"[1256, 3874]","[1256.0, 4319.46]"
72,"[1256, 3874]","[1256.0, 4319.46]"
73,"[1256, 3874]","[1256.0, 4319.46]"
74,"[1256, 3874]","[1256.0, 4319.46]"
75,"[1256, 3874]","[1256.0, 4319.46]"
76,"[1256, 3874]","[1256.0, 4319.46]"
77,"[1256, 3874]","[1256.0, 4319.46]"
78,"[1256, 3874]","[1256.0, 4319.46]"
79,"[1256, 3874]","[1256.0, 4319.46]"
80,"[1256, 3874]","[1256.0, 4319.46]"
81,"[1256, 3874]","[1256.0, 4319.46]"
82,"[1256, 3874]","[1256.0, 4319.46]"
83,"[1256, 3874]","[1256.0, 4319.46]"
84,"[1256, 3874]","[1256.0, 4319.46]"
85,"[1256, 3874]","[1256.0, 4319.46]"
86,"[1256, 3874]","[1256.0, 4319.46]"
87,"[1256, 3874]","[1256.0, 4319.46]"
88,"[1256, 3874]","[1256.0, 4319.46]"
89,"[1256, 3874]","[1256.0, 4319.46]"
90,"[1256, 3874]","[1256.0, 4319.46]"
91,"[1256, 3874]","[1256.0, 4319.46]"
92,"[1256, 3874]","[1256.0, 4319.46]"
93,"[1256, 3874]","[1256.0, 4319.46]"
94,"[1256, 3874]","[1256.0, 4319.46]"
95,"[1256, 3874]","[1256.0, 4319.46]"
96,"[1256, 3874]","[1256.0, 4319.46]"
97,"[1256, 3874]","[1256.0, 4319.46]"
98,"[1256, 3874]","[1256.0, 4319.46]"
99,"[1256, 3874]","[1256.0, 4319.46]"
100,"[1256, 3874]","[1256.0, 4319.46]"
101,"[1256, 3874]","[1256.0, 4319.46]"
102,"[1256, 3874]","[1256.0, 4319.46]"
103,"[1256, 3874]","[1256.0, 4319.46]"
104,"[1256, 3874]","[1256.0, 4319.46]"
105,"[1256, 3874]","[1256.0, 4319.46]"
106,"[1256, 3874]","[1256.0, 4319.46]"
107,"[1256, 3874]","[1256.0, 4319.46]"
108,"[1256, 3874]","[1256.0, 4319.46]"
109,"[1256, 3874]","[1256.0, 4319.46]"
110,"[1256, 3874]","[1256.0, 4319.46]"
111,"[1256, 3874]","[1256.0, 4319.46]"
112,"[1256, 3874]","[1256.0, 4319.46]"
113,"[1256, 3874]","[1256.0, 4319.46]"
114,"[1256, 3874]","[1256.0, 4319.46]"
115,"[1256, 3874]","[1256.0, 4319.46]"
116,"[1256, 3874]","[1256.0, 4319.46]"
117,"[1256, 3874]","[1256.0, 4319.46]"
118,"[1256, 3874]","[1256.0, 4319.46]"
119,"[1256, 3874]","[1256.0, 4319.46]"
120,"[1256, 3874]","[1256.0, 4319.46]"
121,"[1256, 3874]","[1256.0, 4319.46]"
122,"[1256, 3874]","[1256.0, 4319.46]"
123,"[1256, 3874]","[1256.0, 4319.46]"
124,"[1256, 3874]","[1256.0, 4319.46]"
125,"[1256, 3874]","[1256.0, 4319.46]"
126,"[1256, 3874]","[1256.0, 4319.46]"
127,"[1256, 3874]","[1256.0, 4319.46]"
128,"[1256, 3874]","[1256.0, 4319.46]"
129,"[1256, 3874]","[1256.0, 4319.46]"
130,"[1256, 3874]","[1256.0, 4319.46]"
131,"[1256, 3874]","[1256.0, 4319.46]"
132,"[1256, 3874]","[1256.0, 4319.46]"
133,"[1256, 3874]","[1256.0, 4319.46]"
134,"[1256, 3874]","[1256.0, 4319.46]"
135,"[1256, 3874]","[1256.0, 4319.46]"
136,"[1256, 3874]","[1256.0, 4319.46]"
137,"[1256, 3874]","[1256.0, 4319.46]"
138,"[1256, 3874]","[1256.0, 4319.46]"
139,"[1256, 3874]","[1256.0, 4319.46]"
140,"[1256, 3874]","[1256.0, 4319.46]"
141,"[1256, 3874]","[1256.0, 4319.46]"
142,"[1256, 3874]","[1256.0, 4319.46]"
143,"[1256, 3874]","[1256.0, 4319.46]"
144,"[1256, 3874]","[1256.0, 4319.46]"
145,"[1256, 3874]","[1256.0, 4319.46]"
146,"[1256, 3874]","[1256.0, 4319.46]"
147,"[1256, 3874]","[1256.0, 4319.46]"
148,"[1256, 3874]","[1256.0, 4319.46]"
149,"[1256, 3874]","[1256.0, 4319.46]"
150,"[1256, 3874]","[1256.0, 4319.34]"
151,"[1256, 3874]","[1256.0, 4319.34]"
152,"[1256, 3874]","[1256.0, 4319.22]"
153,"[1256, 3874]","[1256.0, 4319.22]"
154,"[1256, 3874]","[1256.0, 4319.22]"
155,"[1256, 3874]","[1256.0, 4319.22]"
156,"[1256, 3874]","[1256.0, 4319.22]"
157,"[1256, 3874]","[1256.0, 4319.22]"
158,"[1256, 3874]","[1256.0, 4319.22]"
159,"[1256, 3874]","[1256.0, 4319.22]"
160,"[1256, 3874]","[1256.0, 4319.22]"
161,"[1256, 3874]","[1256.0, 4319.22]"
162,"[1256, 3874]","[1256.0, 4319.22]"
163,"[1256, 3874]","[1256.0, 4319.22]"
164,"[1256, 3874]","[1256.0, 4319.22]"
165,"[1256, 3874]","[1256.0, 4319.22]"
166,"[1256, 3874]","[1256.0, 4319.22]"
167,"[1256, 3874]","[1256.0, 4319.22]"
168,"[1256, 3874]","[1256.0, 4319.22]"
169,"[1256, 3874]","[1256.0, 4319.22]"
